Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","5622","Import value","0113","Rice","2002","2002","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","0113","Rice","2002","2002","t","11971","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","0113","Rice","2002","2002","1000 USD","2645","A","Official figure",""
"TCL","Crops and livestock products","356","India","66002","Energy content of exports (kcal/capita/day)","0113","Rice","2002","2002","Kcal","0.08","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66003","Protein content of exports (g/capita/day)","0113","Rice","2002","2002","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66004","Fat content of exports (g/capita/day)","0113","Rice","2002","2002","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66005","Carbohydrate, available, content of exports (g/capita/day)","0113","Rice","2002","2002","g","0.02","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66006","Dietary fibre content of exports (g/capita/day)","0113","Rice","2002","2002","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66008","Calcium content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0.01","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66009","Iron content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66010","Magnesium content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0.02","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66011","Phosphorus content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0.06","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66012","Potassium content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0.05","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66014","Zinc content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66016","Vitamin A (RE) content of exports (mcg/capita/day)","0113","Rice","2002","2002","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66017","Vitamin A (RAE) content of exports (mcg/capita/day)","0113","Rice","2002","2002","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66020","Thiamin content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66021","Riboflavin content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66028","Vitamin C content of exports (mg/capita/day)","0113","Rice","2002","2002","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","0113","Rice","2003","2003","t","22","A","Official figure",""
"TCL","Crops and livestock products","356","India","5622","Import value","0113","Rice","2003","2003","1000 USD","26","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","0113","Rice","2003","2003","t","28896","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","0113","Rice","2003","2003","1000 USD","4679","A","Official figure",""
"TCL","Crops and livestock products","356","India","50002","Energy content of imports (kcal/capita/day)","0113","Rice","2003","2003","Kcal","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50003","Protein content of imports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50004","Fat content of imports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50005","Carbohydrate, available, content of imports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50006","Dietary fibre content of imports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50008","Calcium content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50009","Iron content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50010","Magnesium content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50011","Phosphorus content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50012","Potassium content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50014","Zinc content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50016","Vitamin A (RE) content of imports (mcg/capita/day)","0113","Rice","2003","2003","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50017","Vitamin A (RAE) content of imports (mcg/capita/day)","0113","Rice","2003","2003","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50020","Thiamin content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50021","Riboflavin content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50028","Vitamin C content of imports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66002","Energy content of exports (kcal/capita/day)","0113","Rice","2003","2003","Kcal","0.19","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66003","Protein content of exports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66004","Fat content of exports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66005","Carbohydrate, available, content of exports (g/capita/day)","0113","Rice","2003","2003","g","0.04","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66006","Dietary fibre content of exports (g/capita/day)","0113","Rice","2003","2003","g","0","E","Estimated value",""
